RecipeID,Recipe,Recipe_category,Flavor,Yogurt_culture,Skimmed_milk,Semi_skimmed_milk,Full_fat_milk,Milk_supplier,MPC 70%,MPC 80%,Fruit_prep_40Fruit,Fruit_prep_60Fruit,Fruit_prep_supplier,Added_sugar,Aroma,Flavor_intensity ,sweetness,Fruit_intensity,Chalkiness,Color_intensity,thickness,Coating,Global Appreciation,Fat g/100g,Saturated Fatty Acids SFA g/100g,Protein g/100g,Carb (total sugars) g/100g,Calcium mg/100g,Energy kcal/100g,€/kg min,€/kg max,%Protein_cal,Source_protein,Rich_protein,Source_calcium_us,High_calcium_us,Source_calcium_eu,High_calcium_eu
REC-00001,Stirred_Plain,Plain,Plain,0.01,98.5,0,0,BASF Ingredients,1.5,0,0,0,WACKER & Co.,0,0,0.23,0.09,0.02,1.59,0.16,0.36,0.08,0.84,0,0,4,4.5,125,34,0.352,0.7776,47.06,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00002,Stirred_Fruit_Apricot,Fruit_jam,Apricot,0.01,88.5,0,0,BASF Ingredients,1.5,0,0,10,WACKER & Co.,0,0,1.03,0.64,1.39,1.58,2.47,2.67,2.39,2.53,0,0,3.6,9,132.5,50.2,0.429,0.918,28.69,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00003,Stirred_Fruit_Pieces_Apricot,Fruit_pieces,Apricot,0.01,88.5,0,0,BASF Ingredients,1.5,0,0,10,WACKER & Co.,0,0,1.02,0.59,1.41,1,2.42,2.49,2.27,2.52,0,0,3.6,9,132.5,50.2,0.429,0.918,28.69,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00004,Stirred_Fruit_Strawberry,Fruit_jam,Strawberry,0.01,88.5,0,0,BASF Ingredients,1.5,0,0,10,WACKER & Co.,0,0,0.99,0.61,1.4,1.39,2.62,2.49,2.59,2.64,0,0,3.6,9,132.5,50.2,0.429,0.918,28.69,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00005,Stirred_Fruit_Pieces_Strawberry,Fruit_pieces,Strawberry,0.01,88.5,0,0,BASF Ingredients,1.5,0,0,10,WACKER & Co.,0,0,1.12,0.65,1.38,1.28,2.39,2.46,2.3,2.53,0,0,3.6,9,132.5,50.2,0.429,0.918,28.69,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00006,Stirred_Flavored_Strawberry,Flavored,Strawberry,0.01,85.5,0,0,BASF Ingredients,1.5,0,0,10,WACKER & Co.,3,0.001,1.16,0.92,1.4,1.02,2.5,2.33,2.37,2.64,0,0,3.5,11.8,128.8,61.2,0.462,0.9504,22.88,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00007,Stirred_Fruit_Pear,Fruit_jam,Pear,0.01,88.5,0,0,BASF Ingredients,1.5,0,0,10,WACKER & Co.,0,0,0.93,0.65,1.39,0.36,2.43,2.48,2.4,2.47,0,0,3.6,9,132.5,50.2,0.429,0.918,28.69,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00008,Stirred_Fruit_Pieces_Pear,Fruit_pieces,Pear,0.01,88.5,0,0,BASF Ingredients,1.5,0,0,10,WACKER & Co.,0,0,0.82,0.57,1.39,1.35,2.44,2.7,2.63,2.63,0,0,3.6,9,132.5,50.2,0.429,0.918,28.69,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00009,Stirred_Flavored_Vanilla,Flavored,Vanilla,0.01,85.5,0,0,BASF Ingredients,1.5,0,0,10,WACKER & Co.,3,0.001,0.79,0.83,1.41,1.25,2.6,2.62,2.52,2.68,0,0,3.5,11.8,128.8,61.2,0.462,0.9504,22.88,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00010,Stirred_Plain,Plain,Plain,0.01,75,0,0,BASF Ingredients,25,0,0,0,WACKER & Co.,0,0,0.26,0.04,0.01,3.68,0.2,1.55,1.14,0.6,0,0,3.9,4.5,125,33.5,0.715,1.1124,46.57,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00011,Stirred_Fruit_Apricot,Fruit_jam,Apricot,0.01,65,0,0,BASF Ingredients,25,0,0,10,WACKER & Co.,0,0,0.9,0.64,1.39,3.35,2.75,3.97,3.62,2.23,0,0,3.5,9,132.5,49.7,0.792,1.2528,28.17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00012,Stirred_Fruit_Pieces_Apricot,Fruit_pieces,Apricot,0.01,65,0,0,BASF Ingredients,25,0,0,10,WACKER & Co.,0,0,1.1,0.64,1.39,3.78,2.65,3.82,3.3,2.16,0,0,3.5,9,132.5,49.7,0.792,1.2528,28.17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00013,Stirred_Fruit_Strawberry,Fruit_jam,Strawberry,0.01,65,0,0,BASF Ingredients,25,0,0,10,WACKER & Co.,0,0,0.91,0.59,1.39,2.62,2.67,3.81,3.17,2.35,0,0,3.5,9,132.5,49.7,0.792,1.2528,28.17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00014,Stirred_Fruit_Pieces_Strawberry,Fruit_pieces,Strawberry,0.01,65,0,0,BASF Ingredients,25,0,0,10,WACKER & Co.,0,0,1.1,0.6,1.39,3.9,2.74,3.82,3.55,2.22,0,0,3.5,9,132.5,49.7,0.792,1.2528,28.17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00015,Stirred_Flavored_Strawberry,Flavored,Strawberry,0.01,75,0,0,BASF Ingredients,11,0,0,10,WACKER & Co.,4,0.001,0.86,1.03,1.4,1.97,2.51,3.77,3.16,2.67,0,0,3.4,12.8,127.5,64.6,0.715,1.188,21.05,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00016,Stirred_Fruit_Pear,Fruit_jam,Pear,0.01,65,0,0,BASF Ingredients,25,0,0,10,WACKER & Co.,0,0,0.99,0.61,1.4,3.13,2.74,4.14,3.47,2.2,0,0,3.5,9,132.5,49.7,0.792,1.2528,28.17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00017,Stirred_Fruit_Pieces_Pear,Fruit_pieces,Pear,0.01,65,0,0,BASF Ingredients,25,0,0,10,WACKER & Co.,0,0,1,0.57,1.4,3.44,2.52,4,3.36,2.12,0,0,3.5,9,132.5,49.7,0.792,1.2528,28.17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00018,Stirred_Flavored_Vanilla,Flavored,Vanilla,0.01,75,0,0,BASF Ingredients,11,0,0,10,WACKER & Co.,4,0.001,0.87,1.07,1.4,2.33,2.43,3.58,2.89,2.48,0,0,3.4,12.8,127.5,64.6,0.715,1.188,21.05,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00019,Stirred_Plain,Plain,Plain,0.01,85,0,0,BASF Ingredients,10,0,5,0,WACKER & Co.,0,0,0.27,0.35,0.44,1.82,1.83,2.57,2.03,2.02,0,0,3.8,7.6,128.8,45.3,0.495,0.918,33.55,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00020,Stirred_Fruit_Apricot,Fruit_jam,Apricot,0.01,75,0,0,BASF Ingredients,10,0,15,0,WACKER & Co.,0,0,1.63,2.04,1.76,2.53,2.45,3.34,2.71,2.86,0,0,3.4,13.7,136.2,68.3,0.517,0.9504,19.91,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00021,Stirred_Fruit_Pieces_Apricot,Fruit_pieces,Apricot,0.01,75,0,0,BASF Ingredients,10,0,15,0,WACKER & Co.,0,0,1.4,1.99,1.75,2.97,2.49,3.26,2.94,2.77,0,0,3.4,13.7,136.2,68.3,0.517,0.9504,19.91,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00022,Stirred_Fruit_Strawberry,Fruit_jam,Strawberry,0.01,75,0,0,BASF Ingredients,10,0,15,0,WACKER & Co.,0,0,1.58,1.96,1.74,2.48,2.66,3.23,2.61,2.86,0,0,3.4,13.7,136.2,68.3,0.517,0.9504,19.91,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
